GaianYear,GaianMonth,GaianDay,MonthName,GregorianDate,ISOYear,Weekday
9991,1,1,Sagittarius,0010-12-31 BC,-9,Monday
9991,1,2,Sagittarius,0010-01-01 BC,-9,Tuesday
9991,1,3,Sagittarius,0010-01-02 BC,-9,Wednesday
9991,1,4,Sagittarius,0010-01-03 BC,-9,Thursday
9991,1,5,Sagittarius,0010-01-04 BC,-9,Friday
9991,1,6,Sagittarius,0010-01-05 BC,-9,Saturday
9991,1,7,Sagittarius,0010-01-06 BC,-9,Sunday
9991,1,8,Sagittarius,0010-01-07 BC,-9,Monday
9991,1,9,Sagittarius,0010-01-08 BC,-9,Tuesday
9991,1,10,Sagittarius,0010-01-09 BC,-9,Wednesday
9991,1,11,Sagittarius,0010-01-10 BC,-9,Thursday
9991,1,12,Sagittarius,0010-01-11 BC,-9,Friday
9991,1,13,Sagittarius,0010-01-12 BC,-9,Saturday
9991,1,14,Sagittarius,0010-01-13 BC,-9,Sunday
9991,1,15,Sagittarius,0010-01-14 BC,-9,Monday
9991,1,16,Sagittarius,0010-01-15 BC,-9,Tuesday
9991,1,17,Sagittarius,0010-01-16 BC,-9,Wednesday
9991,1,18,Sagittarius,0010-01-17 BC,-9,Thursday
9991,1,19,Sagittarius,0010-01-18 BC,-9,Friday
9991,1,20,Sagittarius,0010-01-19 BC,-9,Saturday
9991,1,21,Sagittarius,0010-01-20 BC,-9,Sunday
9991,1,22,Sagittarius,0010-01-21 BC,-9,Monday
9991,1,23,Sagittarius,0010-01-22 BC,-9,Tuesday
9991,1,24,Sagittarius,0010-01-23 BC,-9,Wednesday
9991,1,25,Sagittarius,0010-01-24 BC,-9,Thursday
9991,1,26,Sagittarius,0010-01-25 BC,-9,Friday
9991,1,27,Sagittarius,0010-01-26 BC,-9,Saturday
9991,1,28,Sagittarius,0010-01-27 BC,-9,Sunday
9991,2,1,Capricorn,0010-01-28 BC,-9,Monday
9991,2,2,Capricorn,0010-01-29 BC,-9,Tuesday
9991,2,3,Capricorn,0010-01-30 BC,-9,Wednesday
9991,2,4,Capricorn,0010-01-31 BC,-9,Thursday
9991,2,5,Capricorn,0010-02-01 BC,-9,Friday
9991,2,6,Capricorn,0010-02-02 BC,-9,Saturday
9991,2,7,Capricorn,0010-02-03 BC,-9,Sunday
9991,2,8,Capricorn,0010-02-04 BC,-9,Monday
9991,2,9,Capricorn,0010-02-05 BC,-9,Tuesday
9991,2,10,Capricorn,0010-02-06 BC,-9,Wednesday
9991,2,11,Capricorn,0010-02-07 BC,-9,Thursday
9991,2,12,Capricorn,0010-02-08 BC,-9,Friday
9991,2,13,Capricorn,0010-02-09 BC,-9,Saturday
9991,2,14,Capricorn,0010-02-10 BC,-9,Sunday
9991,2,15,Capricorn,0010-02-11 BC,-9,Monday
9991,2,16,Capricorn,0010-02-12 BC,-9,Tuesday
