prefecture,prefectureLabel
http://www.wikidata.org/entity/Q16158529,Ajmer State
http://www.wikidata.org/entity/Q1159,Andhra Pradesh
http://www.wikidata.org/entity/Q67906082,Andhra Pradesh (1956–2014)
http://www.wikidata.org/entity/Q4066154,Andhra State
http://www.wikidata.org/entity/Q1162,Arunachal Pradesh
http://www.wikidata.org/entity/Q1164,Assam
http://www.wikidata.org/entity/Q4100821,Bhopal State (1949–1956)
http://www.wikidata.org/entity/Q1165,Bihar
http://www.wikidata.org/entity/Q4086661,Bilaspur State
http://www.wikidata.org/entity/Q2627082,Bombay State
http://www.wikidata.org/entity/Q1168,Chhattisgarh
http://www.wikidata.org/entity/Q4247962,Coorg State
http://www.wikidata.org/entity/Q2354639,East Punjab
http://www.wikidata.org/entity/Q1171,Goa
http://www.wikidata.org/entity/Q1061,Gujarat
http://www.wikidata.org/entity/Q1174,Haryana
http://www.wikidata.org/entity/Q1177,Himachal Pradesh
http://www.wikidata.org/entity/Q4494730,Hyderabad State (1948-1956)
http://www.wikidata.org/entity/Q1180,Jammu and Kashmir
http://www.wikidata.org/entity/Q1184,Jharkhand
http://www.wikidata.org/entity/Q1185,Karnataka
http://www.wikidata.org/entity/Q1186,Kerala
http://www.wikidata.org/entity/Q1308627,Madhya Bharat
http://www.wikidata.org/entity/Q1188,Madhya Pradesh
http://www.wikidata.org/entity/Q2618458,Madras State
http://www.wikidata.org/entity/Q1191,Maharashtra
http://www.wikidata.org/entity/Q1193,Manipur
http://www.wikidata.org/entity/Q1195,Meghalaya
http://www.wikidata.org/entity/Q1502,Mizoram
http://www.wikidata.org/entity/Q3374892,Mysore State
http://www.wikidata.org/entity/Q1599,Nagaland
http://www.wikidata.org/entity/Q22048,Odisha
http://www.wikidata.org/entity/Q669534,Patiala and East Punjab States Union
http://www.wikidata.org/entity/Q22424,Punjab
http://www.wikidata.org/entity/Q1437,Rajasthan
http://www.wikidata.org/entity/Q2227696,Saurashtra State
http://www.wikidata.org/entity/Q1505,Sikkim
http://www.wikidata.org/entity/Q1445,Tamil Nadu
http://www.wikidata.org/entity/Q677037,Telangana
http://www.wikidata.org/entity/Q1538311,Travancore-Cochin
http://www.wikidata.org/entity/Q1363,Tripura
http://www.wikidata.org/entity/Q7884006,Undivided Assam
http://www.wikidata.org/entity/Q1498,Uttar Pradesh
http://www.wikidata.org/entity/Q1499,Uttarakhand
http://www.wikidata.org/entity/Q970343,Vindhya Pradesh
http://www.wikidata.org/entity/Q1356,West Bengal
