qid	label	sex	birth	death	gedcom	wikidata_qid	geni_id
Q1	Aster	Q153719	-13000000000-00-00T00:00:00Z				
Q2	Emma H. Leonhart						
Q3	Andromeda	Q153719	-13000000000-00-00T00:00:00Z		Andromeda /Omega/		
Q4	Benzette	Q153719	-12983000000-00-00T00:00:00Z		Benzette /Hesperides/		
Q5	Hesper	Q153719			Hesper /Hesperides/		
Q6	Quinamette	Q153719			Quinamette /Hesperides/		
Q7	Bios	Q153718			ビオス /ヘスペリデス/		
Q8	Viros	Q153718			ヴィロス /ヘスペリデス/		
Q9	Dedos	Q153718			デドス /ヘスペリデス/		
Q10	Kenan	Q153718					
Q11	Caynen	Q153718					
Q12	Aenos	Q153718					
Q13	Hanos	Q153718					
Q14	Malathan	Q153718					
Q15	Mehuthen	Q153718					
Q16	Jared	Q153718					
Q17	Irad	Q153718					
Q18	Maharoch	Q153718					
Q19	Malathok	Q153718					
Q20	Enid	Q153718					
Q21	Hanad	Q153718			Hanad /Viros Ehēca/		
Q22	Pahadok	Q153718			Pahadok /Bios Ehēca/		
Q23	Peladok	Q153718			Peladok /Viros Ehēca/		
Q24	Pelod	Q153718			Pelod  /Bios Quiyah/		
Q25	Sarniod	Q153718			Sarniod /Viros Quiyah/		
Q26	Aroch	Q153718			Aroch  /Bios Quiyah/		
Q27	Alok	Q153718			Alok /Viros Quiyah/		
Q28	Nerod	Q153718			Nerod  /Bios Quiyah/		
Q29	Illod	Q153718			Illod /Viros Quiyah/		
Q30	Larthok	Q153718			Larthok /Bios Quiyah/		
Q31	Umroch	Q153718			Umroch /Viros Quiyah/		
Q32	Idris	Q153718			Idris /Bios Attle/		
Q33	Oblas	Q153718			Oblas /Viros Attle/		
Q34	Methuselah	Q153718			Methuselah /Bios Attle/		
Q35	Makusholah	Q153718			Makusholah /Viros Attle/		
Q36	Lammes	Q153718			Lammes /Bios Attle/		
Q37	Romas	Q153718			Romas /Viros Attle/		
Q38	Nolah	Q153718			Nolah /Bios Attle/		
Q39	Nemla	Q153718			Nemla /Viros Attle/		
Q40	Lifebringer	Q153718			Lifebringer /Bios Sol/		
Q41	Virosol	Q153718			Virosol /Viros Sol/		
Q42	Luca	Q153718			Luca /Last Universal Common Ancestor/	Q849168	
Q43	Gaia	Q153719					
Q44	Gaius Virus	Q153718			Gaius /Viros/		
Q45	Arka	Q153719			Arka /Archaea/		
Q46	Bacta	Q153719			Bacta /Bacteria/		
Q47	Amaterasu	Q153719			Solana /Amaterasu Omikami/		
Q48	Viros	Q153718			Viros Sol /The Virus/		
Q49	Nano	Q153719			Nano /DPANN/		
Q50	Yuri	Q153719			Yuri /Euryarchaeota/		
Q51	Proteus	Q153719			Proteus /Proteoarchaeota/		
Q52	Hydra	Q153719			Hydra /Hydrobacteria/		
Q53	Terra	Q153719			Terra /Terrabacteria/		
Q54	Luna						
Q55	Vigirus	Q153718			Vigirus /The Virus/		
Q56	Methana	Q153719			Methana /Methanobacteria/		
Q57	Halo	Q153719			Halo /Haloarchaea/		
Q58	Pyra	Q153719			Pyra /Thermococci/		
Q59	Asgarda	Q153719					
Q60	Proteus	Q153719			Proteus /Proteobacteria/		
Q61	Chlorobes	Q153719			Chlorobes /Chlorobi/		
Q62	Firmus	Q153719					
Q63	Actano	Q153719					
Q64	Poxus	Q153718			Poxus /The Poxvirus/		
Q65	Heimdalla	Q153719					
Q66	Odina	Q153719					
Q67	Thora	Q153719					
Q68	Lokia	Q153719					
Q69	Hela	Q153719					
Q70	Alef	Q153719			Alef /Alphaproteobacteria/		
Q71	Beth	Q153719			Beth /Betaproteobacteria/		
Q72	Gamella	Q153719			Gamella /Gammaproteobacteria/		
Q73	Myxo	Q153719			Myxo /Myxobacteria/		
Q74	Firmicutie	Q153719			Firmicutes /Firmicutes/		
Q75	Deinococus	Q153719			Deinococcota /Deinococcota/		
Q76	Actina	Q153719			Actina /Actinobacteria/		
Q77	Prasea	Q153719					
Q78	Proto-One	Q153718			Proto-One /The First Bridger/		
Q79	Rachel	Q153719			Rachel /Rickettsiales/		
Q80	Callia	Q153719			Callia /Callistobacteria?/		
Q81	Azotobacter	Q153719			Azotobacter /Azotobacter/		
Q82	Yogurie	Q153719			Yogurt /Yogurt/		
Q83	Frankia	Q153719					
Q84	Saya	Q153719			Saya /Cyanobacteria/		
Q85	Chloroflexa	Q153719			Chloroflexa /Chloroflexa/		
Q86	Proto-Two	Q153718			Proto-Two /The Second Bridger/		
Q87	Rika	Q153719			Rika /Rickettsiales/		
Q88	Hypha	Q153719			Hypha /Hyphomicrobiales/		
Q89	Caulobacter	Q153719			Caulobacter /Caulobacter/		
Q90	Euka	Q153718			Euka /Progenitor of the Eukaryotes/		
Q91	Eve	Q153719			Eve /Mitochondria, the Powerhouse of the Cell/		
Q92	Lilith	Q153719					
Q93	Anima	Q153719			Anima  /Scotokaryota/		
Q94	Planta	Q153719			Planta  /Corticata/		
Q95	Nectarius	Q153718			Nectarius /Neokaryota/		
Q96	Eglau	Q153718			Eglau /Discoba/		
Q97	Vigora	Q153719			Vigora /Neokaryota/		
Q98	Scotokaryon	Q153718			Scotokaryon /Scotokaryota/		
Q99	Amoebus	Q153718			Amoebus /Amoebozoa/		
Q100	Opisthos	Q153718					
Q101	Metamon	Q153718					
Q102	Corticus	Q153718					
Q103	Son of Eglau	Q153718					
Q104	Plastidus	Q153718					
Q105	Cryptina	Q153719					
Q106	Chromista	Q153719					
Q107	Mygaster	Q153718					
Q108	Holozon	Q153718					
Q109	Holomys	Q153718					
Q110	Chlora	Q153719					
Q111	Alga	Q153718					
Q112	Glaucon	Q153718					
Q113	Chromistus	Q153718					
Q114	Haroses	Q153718					
Q115	Haptista	Q153718					
Q116	Holozetta	Q153719					
Q117	Mesomycetozoea	Q153718					
Q118	Filozon	Q153718					
Q119	Cristidiscoidea	Q153718					
Q120	Mygus	Q153718					
Q121	Vert	Q153718					
Q122	Rhodes	Q153718					
Q123	Harosetta	Q153719					
Q124	Heterokon	Q153718					
Q125	Alveolus	Q153718					
Q126	Rhizar	Q153718					
Q127	Haptos	Q153718					
Q128	Filasterea	Q153718					
Q129	Choanos	Q153718					
Q130	Hyphus	Q153718					
Q131	Rozella	Q153718					
Q132	Charos	Q153718					
Q133	Chloros	Q153718					
Q134	Rosa	Q153719					
Q135	Florida	Q153718					
Q136	Oomy	Q153718					
Q137	Bigyres	Q153718					
